Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name,Topic Representation
24121,29377,48935,1065,http://data.gesis.org/claimskg/creative_work/92ba353c-04cf-5abe-9db2-64c1bc06af91,"As soon as Biden took office, he eliminated all subsidies for fossil fuels.",politifact,English,MIXTURE,2,"Biden took office, subsidies for fossil fuels","['Biden took office', ' subsidies for fossil fuels']",2.0,13,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
24529,29785,10806,4568,http://data.gesis.org/claimskg/creative_work/f235a5c6-4a18-50cd-8639-b4a10ff0c0db,"An image shared on Facebook over 800 times claims energy producer Royal Dutch Shell is laying off 9,000 workers because of President Joe Biden.",checkyourfact,English,FALSE,1,"Facebook, energy producer","['Facebook', ' energy producer']",2.0,24,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
24792,30049,56555,8685,http://data.gesis.org/claimskg/creative_work/b3ad266e-2a85-532f-b092-87834f88abc4,Says Joe Biden imports oil from Iran.,politifact,English,MIXTURE,2,"Joe Biden, oil from Iran","['Joe Biden', ' oil from Iran']",2.0,7,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
25112,30370,10612,4374,http://data.gesis.org/claimskg/creative_work/db115574-65e6-5d2d-8ae3-747bf92784dd,A post shared on Facebook claims that President Joe Biden’s administration is seeking to ban the use of gas stoves.,checkyourfact,English,FALSE,1,"Facebook, President Joe Biden","['Facebook', ' President Joe Biden']",2.0,20,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
25200,30458,57069,9199,http://data.gesis.org/claimskg/creative_work/e7abc090-d07b-5a76-85f8-05f3d8aa41e5,Says President Joe Biden is trying to send taxpayer dollars to manufacturers overseas that do not abide by the same (carbon emission) standards we do at home.,politifact,English,MIXTURE,2,"President Joe Biden, carbon emission","['President Joe Biden', ' carbon emission']",2.0,27,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
25914,31175,47965,95,http://data.gesis.org/claimskg/creative_work/d41bfc6a-55d5-5c9f-a1b5-2f6e8af93789,Says Joe Biden is following through with a fracking ban.,politifact,English,MIXTURE,2,"Joe Biden, fracking","['Joe Biden', ' fracking']",2.0,10,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
26323,31589,8832,2594,http://data.gesis.org/claimskg/creative_work/5a468558-525c-55d3-80dc-2f885b8a360f,A post shared on Facebook claims President Joe Biden plans to give every American a $5 gas card.,checkyourfact,English,FALSE,1,"Facebook, President Joe Biden","['Facebook', ' President Joe Biden']",2.0,18,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
26554,31820,52318,4448,http://data.gesis.org/claimskg/creative_work/973b5ed3-9f90-5337-a69f-099b1511391d,"Says Joe Biden’s website shows that he supports the Green New Deal, despite denials in debate.",politifact,English,MIXTURE,2,"Green New Deal, Joe Biden","['Green New Deal', ' Joe Biden']",2.0,16,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
26764,32030,51964,4094,http://data.gesis.org/claimskg/creative_work/9f382429-1f2a-5b3b-8b4b-af1019fcdb40,"Says Joe Biden made it clear..No More Coal Fired Power Plants!! So, No More Coal!! Wake Up WV, PA,OH, KY",politifact,English,MIXTURE,2,"Coal Fired Power Plants, Joe Biden","['Coal Fired Power Plants', ' Joe Biden']",2.0,20,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
26936,32204,50665,2795,http://data.gesis.org/claimskg/creative_work/f62b88de-5a82-50b6-86d1-f6339006dd8a,President Trump sanctioned Russia. President Biden gave them a pipeline.,politifact,English,MIXTURE,2,"President Trump, Russia","['President Trump', ' Russia']",2.0,10,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
27195,32465,9500,3262,http://data.gesis.org/claimskg/creative_work/961fc985-7823-5c53-9106-d0b2d013cfc3,"A post shared on Facebook claims President Joe Biden announced that all American citizens would receive a $1,000 check for gas.",checkyourfact,English,FALSE,1,"Facebook, President Joe Biden","['Facebook', ' President Joe Biden']",2.0,21,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
27731,33006,53583,5713,http://data.gesis.org/claimskg/creative_work/fff158b1-21fd-5632-b9d1-bea3e3886475,Says Joe Biden’s order stopping the Keystone pipeline made oil more expensive for us to use.,politifact,English,MIXTURE,2,"Joe Biden, Keystone pipeline","['Joe Biden', ' Keystone pipeline']",2.0,16,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
