Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name,Topic Representation
27061,32331,50487,2617,http://data.gesis.org/claimskg/creative_work/dd854768-50b8-52d0-a953-d24cbad78df6,The proposal by President Joe Biden would put the U.S. No. 2 in the world for the highest corporate tax rate.,politifact,English,MIXTURE,2,"President Joe Biden, corporate tax","['President Joe Biden', ' corporate tax']",2.0,21,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
28825,34110,49628,1758,http://data.gesis.org/claimskg/creative_work/e1350436-80e9-5660-955e-170b37bc519f,Biden’s Treasury Department declares IRS will monitor all accounts over $600.,politifact,English,MIXTURE,2,"IRS, Treasury Department","['IRS', ' Treasury Department']",2.0,11,en,-1,-1_the_joe_biden_president,"the, joe, biden, president, to, of, on, in, us, an"
33708,39035,6551,313,http://data.gesis.org/claimskg/creative_work/32c8f018-4e24-5300-a1ee-19d022150440,"A post shared on Facebook over 126,000 times claims Democratic presidential nominee Joe Biden’s tax plan would raise income taxes from 12 percent to 25 percent for families making $75,000.",checkyourfact,English,FALSE,1,"Facebook, income taxes","['Facebook', ' income taxes']",2.0,30,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
37219,42626,16573,5225,http://data.gesis.org/claimskg/creative_work/b4c1ebd3-8d01-5b62-8505-b3727a69c48e,Joe Biden will raise taxes on 82 percent of Americans,factcheck_afp,English,FALSE,1,"Joe Biden, raise taxes","['Joe Biden', ' raise taxes']",2.0,10,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
37344,42757,16474,5126,http://data.gesis.org/claimskg/creative_work/a259b8f6-1cf4-5463-9459-dd9b6b27c290,Biden says will raise taxes,factcheck_afp,English,FALSE,1,"Biden, raise taxes","['Biden', ' raise taxes']",2.0,5,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
37599,43020,39144,317,http://data.gesis.org/claimskg/creative_work/7e6ef841-efb6-5408-af1e-9343f9d111fa,Says Joe Biden wants to put a 3% annual federal tax on your home.,politifact,English,False,1,"3%, Joe Biden","['3%', ' Joe Biden']",2.0,14,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
40886,46763,43618,4791,http://data.gesis.org/claimskg/creative_work/28581658-09a1-5ec2-959e-bf83201f042f,Biden slipped up and came out saying he’s going to tax your 401k. Are any of you EVEN paying attention?,politifact,English,False,1,"401k, Biden","['401k', ' Biden']",2.0,20,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
41416,47296,43464,4637,http://data.gesis.org/claimskg/creative_work/830e5c3d-7396-5d37-b74f-8d1899323bf3,82% of Americans...would experience a tax increase if Biden were elected.,politifact,English,False,1,"Biden, tax increase","['Biden', ' tax increase']",2.0,11,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
41725,47614,42412,3585,http://data.gesis.org/claimskg/creative_work/f606c133-28e3-5805-8b06-72a1859ebe32,Joe Biden wants to raise taxes on 82% of all Americans.,politifact,English,False,1,"Joe Biden, raise taxes","['Joe Biden', ' raise taxes']",2.0,11,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
44231,50277,46833,8006,http://data.gesis.org/claimskg/creative_work/2c337e45-b7e8-5b1b-8e17-589db1966dfb,The government is arming up the IRS because Joe Biden is raising taxes and disarming Americans.,politifact,English,False,1,"IRS, Joe Biden, raising taxes","['IRS', ' Joe Biden', ' raising taxes']",3.0,16,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
45264,51393,42517,3690,http://data.gesis.org/claimskg/creative_work/dba61b72-9c77-5982-bb37-5e0b1b32df8d,Says Joe Biden is proposing a tax increase that’s the largest in American history.,politifact,English,False,1,"American history, Joe Biden, tax increase","['American history', ' Joe Biden', ' tax increase']",3.0,14,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
50644,57020,55247,7377,http://data.gesis.org/claimskg/creative_work/d4f34836-e5ff-5cc7-8e3d-81fc6d5c8a49,President Joe Biden’s corporate tax rate increase would put us in line with other industrial nations.,politifact,English,MIXTURE,2,"President Joe Biden, corporate tax rate, industrial nations","['President Joe Biden', ' corporate tax rate', ' industrial nations']",3.0,16,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
53000,59388,10215,3977,http://data.gesis.org/claimskg/creative_work/5557050e-ae96-5c8c-b9ca-251739ea25d4,A post shared on Facebook claims Democratic presidential nominee Joe Biden plans to raise federal income taxes to 52 percent.,checkyourfact,English,FALSE,1,"Democratic, Facebook, Joe Biden","['Democratic', ' Facebook', ' Joe Biden']",3.0,20,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
53337,59726,39632,805,http://data.gesis.org/claimskg/creative_work/5ee88e3b-4bd6-56f6-9400-1eb0dcf398b1,Democrats and Joe Biden want to abolish the suburbs altogether by ending single-family home zoning.,politifact,English,False,1,"Joe Biden, single-family home, zoning","['Joe Biden', ' single-family home', ' zoning']",3.0,15,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
53901,60294,47641,8814,http://data.gesis.org/claimskg/creative_work/f4089bdf-160b-58d4-a860-cf26c4a153cd,"Says Joe Biden and Kamala Harris would raise the federal income tax rate for a person with a bi-weekly gross salary of $3,000 to 39.6%, costing nearly half your paycheck.",politifact,English,False,1,"Joe Biden, Kamala Harris, federal income tax","['Joe Biden', ' Kamala Harris', ' federal income tax']",3.0,30,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
56626,63113,10660,4422,http://data.gesis.org/claimskg/creative_work/d54fbfba-f855-5c45-818b-1ea70a39c8e8,"A viral Facebook post shared over 4,300 times claims Democratic presidential nominee Joe Biden wants to put a 3% annual federal tax on your home.",checkyourfact,English,FALSE,1,"3%, Democratic, Facebook, Joe Biden","['3%', ' Democratic', ' Facebook', ' Joe Biden']",4.0,25,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
57130,63632,49869,1999,http://data.gesis.org/claimskg/creative_work/83c4d4d1-d385-5dcf-869d-d5c8cf73d5e4,Biden wants to end Shareholder Capitalism.. that's your 401k..your pensions.. your retirement.. are you voting for that???,politifact,English,MIXTURE,2,"401k, Biden, Capitalism, Shareholder","['401k', ' Biden', ' Capitalism', ' Shareholder']",4.0,17,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
57887,64405,60018,1858,http://data.gesis.org/claimskg/creative_work/f4527c6c-6310-53f8-9fcd-c5a905a199a0,"During the 2020 election, U.S. President Joe Biden called for eliminating the stepped-up basis for capital gains tax.",snopes,English,True,3,"2020, U.S. President Joe Biden, capital gains tax, stepped-up basis","['2020', ' U.S. President Joe Biden', ' capital gains tax', ' stepped-up basis']",4.0,18,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
58300,64821,53592,5722,http://data.gesis.org/claimskg/creative_work/e1a87515-5d83-508f-8079-d1c4be34c9d4,The child tax credit passed under President Joe Biden has helped 97% of the families with children who are living in poverty.,politifact,English,MIXTURE,2,"97%, President Joe Biden, child tax credit, living in poverty","['97%', ' President Joe Biden', ' child tax credit', ' living in poverty']",4.0,22,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
58439,64962,53543,5673,http://data.gesis.org/claimskg/creative_work/65a08823-3e00-504c-aa34-7ade34c04f14,Says Ford agreed to invest $900 million at an Ohio plant because Donald Trump lowered taxes and is now moving the project to Mexico because Joe Biden is increasing taxes.,politifact,English,MIXTURE,2,"Donald Trump, Joe Biden, Mexico, Ohio","['Donald Trump', ' Joe Biden', ' Mexico', ' Ohio']",4.0,30,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
58767,65300,31670,2523,http://data.gesis.org/claimskg/creative_work/036317a7-ee75-53d3-83f0-64ecd53f67d3,"Dave Ramsey wrote a Facebook post warning fans about Joe Biden's tax plan, and the post itself accurately described said plan.",truthorfiction,English,FALSE,1,"Dave Ramsey, Facebook, Joe Biden, tax plan","['Dave Ramsey', ' Facebook', ' Joe Biden', ' tax plan']",4.0,21,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
59207,65767,42362,3535,http://data.gesis.org/claimskg/creative_work/61b21e37-34f5-52bc-806e-6e89deae61aa,Says Joe Biden and Kamala Harris want massive tax hikes on working families.,politifact,English,False,1,"Joe Biden, Kamala Harris, tax hikes, working families","['Joe Biden', ' Kamala Harris', ' tax hikes', ' working families']",4.0,13,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
60009,66638,63281,1252,http://data.gesis.org/claimskg/creative_work/b18ed0a5-8bcb-57e0-94fa-5e469307594d,Joe Biden's tax plan includes a 3% federal property tax on privately-owned homes.,snopes,English,False,1,"3%, Joe Biden's, property tax, tax plan","['3%', "" Joe Biden's"", ' property tax', ' tax plan']",4.0,13,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
61064,67752,10643,4405,http://data.gesis.org/claimskg/creative_work/64ef2942-a185-53d4-b876-47234e556170,An image shared on Facebook claims Democratic presidential nominee Joe Biden proposed a nationwide 2 percent property tax increase.,checkyourfact,English,FALSE,1,"Democratic, Facebook, Joe Biden, property tax","['Democratic', ' Facebook', ' Joe Biden', ' property tax']",4.0,19,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
62484,69213,10544,4306,http://data.gesis.org/claimskg/creative_work/85ffd042-6b0a-50ec-809f-0c693fdbae00,"A viral Facebook post shared over 7,500 times claims Democratic presidential nominee Joe Biden has proposed taxing 401(k) retirement accounts.",checkyourfact,English,FALSE,1,"7,500, Democratic, Facebook, Joe Biden","['7', '500', ' Democratic', ' Facebook', ' Joe Biden']",5.0,20,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
64289,71188,70069,8040,http://data.gesis.org/claimskg/creative_work/64c4e3e0-927f-5b60-aa6d-02137dd9e3df,"During his 2020 presidential campaign, Democratic nominee Joe Biden proposed the largest tax increase in modern U.S. history.",snopes,English,False,1,"Democratic, Joe Biden, U.S. history, presidential campaign, tax increase","['Democratic', ' Joe Biden', ' U.S. history', ' presidential campaign', ' tax increase']",5.0,18,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
65791,72796,30170,1023,http://data.gesis.org/claimskg/creative_work/0ad2c93f-dfbb-5b03-ab08-05136a13a922,"A Facebook post correctly describes and compares the Trump and Biden administrations' tax plans, including massive tax hikes for corporate taxes, payroll taxes, small business taxes, and capital gains.",truthorfiction,English,MIXTURE,2,"Biden administrations, Facebook, Trump, corporate taxes, payroll taxes, small business, tax hikes","['Biden administrations', ' Facebook', ' Trump', ' corporate taxes', ' payroll taxes', ' small business', ' tax hikes']",7.0,29,en,8,8_tax_taxes_your_raise,"tax, taxes, your, raise, percent, increase, home, wants, gains, capital"
